car_name,SKU,page_name,max_qty,current_qty,image_url,price
Hot Wheels Boulevard '69 Ford Mustang Boss 302,JBL20,hot-wheels-boulevard-69-ford-mustang-boss-302-jbl20,4000,2843,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/4987fca53df6dc05ee7111f1a282dec3fd84583c_600x600.jpg,6.5
Hot Wheels Premium Fast &amp; Furious Koenigsegg CCXR,JBL88,hot-wheels-premium-fast-furious-koenigsegg-ccxr-jbl88,4000,2487,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/5e25828d006fb858eabafed32c7b2de8cd8a2c05_600x600.jpg,8
Hot Wheels Premium Pop Culture 2021 BMW M5,JBL58,hot-wheels-premium-pop-culture-2021-bmw-m5-jbl58,2980,92,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/e6d8b9ed86e9d4e4c312371eeb1967c78dd4706c_600x600.jpg,8
Hot Wheels Premium Car Culture 2-Pack Toyota 2000GT &amp; Toyota Supra,JBL03,hot-wheels-premium-car-culture-2-pack-jbl03,2917,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/cbaddf8ba5cce832230f19d80731d8006a4b46d5_600x600.jpg,13
Hot Wheels Transformers Nemesis Prime,JCP67,hot-wheels-transformers-nemesis-prime-jcp67,0,-38856,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/HWC_PDP_JCP67_PS_25_5632_600x600.jpg,65
Hot Wheels Fast &amp; Furious Lamborghini LM002,JBL86,hot-wheels-premium-fast-furious-lamborghini-lm002-jbl86,3814,3465,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/deb4910039df8216ec8a55ef151f57c6cc089a80_600x600.jpg,8
Hot Wheels Car Culture 2-Pack Subaru Crosstrek &amp; 2018 Toyota 4Runner,JBK98,hot-wheels-premium-car-culture-2-pack-jbk98,771,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/fc695b2ced2cd2109843dc9384582960db712b59_600x600.jpg,13
Hot Wheels Premium Pop Culture '17 Audi RS G Avant,HVJ47,hot-wheels-premium-pop-culture-vehicle-hvj47,966,285,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/kh8jx9rigmyx9fz77qbg_600x600.jpg,6.5
Hot Wheels x Mercedes-Benz Project G-class Past II Future designed by NIGO,JGK31,hot-wheels-x-mercedes-benz-past-ii-future-jgk31,133,-135,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/vtjxjn3dpyu2j95ub724_600x600.jpg,80
Hot Wheels Elite 64 Radford Type 62-2 Pikes Peak,JCP44,hot-wheels-elite64-radford-type-62-2-pikes-peak-jcp44,44282,41023,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/vna59zbdqbvoegl5asxb_600x600.jpg,22
Hot Wheels Premium Car Culture Circuit Legends Porsche 917K,JBK63,hot-wheels-premium-car-culture-circuit-legends-porsche-917k-jbk63,2408,2121,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/yqiqhkcudpnqdke3kog3_600x600.jpg,8
Hot Wheels Premium Car Culture Ferrari 499P,JBK49,hot-wheels-premium-car-culture-ferrari-499p-jbk49,530,0,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/kcm4589daoxcple6ejjr_600x600.jpg,8
Hot Wheels Premium Car Culture 2024 Mustang RTR Spec 5-FD,JBK48,hot-wheels-premium-car-culture-2024-mustang-rtr-spec-5-fd-jbk48,3994,3571,https://cdn.shopify.com/s/files/1/0568/1132/3597/files/gdvs5ytbfihcqiof96pf_600x600.jpg,8
